state;mode;timestamp
begin;docker_lu_1;1563467268
end;docker_lu_1;1563467442
begin;bin_lu_1;1563467447
end;bin_lu_1;1563467447
begin;docker_lu_2;1563467447
end;docker_lu_2;1563467617
begin;bin_lu_2;1563467622
end;bin_lu_2;1563467622
begin;docker_lu_3;1563467622
end;docker_lu_3;1563467806
begin;bin_lu_3;1563467811
end;bin_lu_3;1563467811
begin;docker_lu_4;1563467811
end;docker_lu_4;1563467988
begin;bin_lu_4;1563467993
end;bin_lu_4;1563467993
begin;docker_lu_5;1563467993
end;docker_lu_5;1563468179
begin;bin_lu_5;1563468184
end;bin_lu_5;1563468184
begin;docker_lu_6;1563468184
end;docker_lu_6;1563468363
begin;bin_lu_6;1563468368
end;bin_lu_6;1563468368
begin;docker_lu_7;1563468368
end;docker_lu_7;1563468546
begin;bin_lu_7;1563468551
end;bin_lu_7;1563468551
begin;docker_lu_8;1563468551
end;docker_lu_8;1563468704
begin;bin_lu_8;1563468709
end;bin_lu_8;1563468709
begin;docker_lu_9;1563468709
end;docker_lu_9;1563468885
begin;bin_lu_9;1563468890
end;bin_lu_9;1563468890
begin;docker_lu_10;1563468890
end;docker_lu_10;1563469067
begin;bin_lu_10;1563469072
end;bin_lu_10;1563469072
begin;docker_lu_11;1563469072
end;docker_lu_11;1563469255
begin;bin_lu_11;1563469260
end;bin_lu_11;1563469260
begin;docker_lu_12;1563469260
end;docker_lu_12;1563469443
begin;bin_lu_12;1563469448
end;bin_lu_12;1563469448
begin;docker_lu_13;1563469448
end;docker_lu_13;1563469632
begin;bin_lu_13;1563469637
end;bin_lu_13;1563469637
begin;docker_lu_14;1563469637
end;docker_lu_14;1563469822
begin;bin_lu_14;1563469827
end;bin_lu_14;1563469827
begin;docker_lu_15;1563469827
end;docker_lu_15;1563470016
begin;bin_lu_15;1563470021
end;bin_lu_15;1563470021
begin;docker_lu_16;1563470021
end;docker_lu_16;1563470211
begin;bin_lu_16;1563470216
end;bin_lu_16;1563470216
begin;docker_lu_17;1563470216
end;docker_lu_17;1563470388
begin;bin_lu_17;1563470393
end;bin_lu_17;1563470393
begin;docker_lu_18;1563470393
end;docker_lu_18;1563470562
begin;bin_lu_18;1563470567
end;bin_lu_18;1563470567
begin;docker_lu_19;1563470567
